B_digital_(T)	B_analog_(T)	moment_(emu)	T_VTI_(K)	T_sample_(K)	sense_phase	sense_amplitude	Time
0.00000E+0	-3.71275E-5	-3.49883E-5	2.89501E+2	2.83620E+2	-2.65255E+1	7.05440E-3	4.75344E+4
9.99500E-2	1.00249E-1	-1.25016E-3	2.89514E+2	2.83978E+2	-2.65363E+1	7.05636E-3	4.76154E+4
1.99990E-1	2.02510E-1	-3.56389E-4	2.89497E+2	2.83899E+2	-2.64903E+1	7.05520E-3	4.76954E+4
2.99940E-1	3.04197E-1	4.48772E-4	2.89493E+2	2.83850E+2	-2.65004E+1	7.05417E-3	4.77764E+4
3.99980E-1	4.04537E-1	-1.59624E-4	2.89498E+2	2.83899E+2	-2.65412E+1	7.05801E-3	4.78554E+4
4.99940E-1	5.05162E-1	8.21612E-4	2.89497E+2	2.83958E+2	-2.64968E+1	7.05498E-3	4.79344E+4
5.99980E-1	6.06349E-1	4.07731E-4	2.89495E+2	2.83953E+2	-2.64256E+1	7.05360E-3	4.80134E+4
6.99930E-1	7.07680E-1	2.35037E-4	2.89490E+2	2.83905E+2	-2.64650E+1	7.06552E-3	4.80924E+4
7.99970E-1	8.09930E-1	2.53112E-4	2.89497E+2	2.83946E+2	-2.65427E+1	7.05818E-3	4.81724E+4
8.99930E-1	9.10477E-1	5.97283E-4	2.89498E+2	2.84026E+2	-2.65143E+1	7.05033E-3	4.82514E+4
9.99970E-1	1.00997E+0	3.71138E-4	2.89498E+2	2.84056E+2	-2.65412E+1	7.05293E-3	4.83304E+4
1.09992E+0	1.11130E+0	-6.04671E-4	2.89498E+2	2.84045E+2	-2.65911E+1	7.06122E-3	4.84094E+4
1.19996E+0	1.21287E+0	3.72175E-4	2.89496E+2	2.84112E+2	-2.64524E+1	7.06799E-3	4.84884E+4
1.29992E+0	1.31431E+0	6.34326E-4	2.89497E+2	2.84133E+2	-2.64936E+1	7.05625E-3	4.85674E+4
1.39996E+0	1.41619E+0	-4.80357E-5	2.89501E+2	2.84206E+2	-2.64858E+1	7.05678E-3	4.86464E+4
1.49991E+0	1.51783E+0	4.92212E-4	2.89496E+2	2.84229E+2	-2.64404E+1	7.06839E-3	4.87254E+4
1.59995E+0	1.61940E+0	1.45420E-3	2.89496E+2	2.84266E+2	-2.64843E+1	7.06727E-3	4.88044E+4
1.69991E+0	1.72074E+0	7.84439E-4	2.89499E+2	2.84279E+2	-2.64968E+1	7.05824E-3	4.88834E+4
1.79995E+0	1.82290E+0	3.17510E-4	2.89500E+2	2.84332E+2	-2.65342E+1	7.06670E-3	4.89644E+4
1.89999E+0	1.92374E+0	3.19226E-4	2.89498E+2	2.84360E+2	-2.64753E+1	7.06317E-3	4.90434E+4
1.99994E+0	2.02473E+0	9.40501E-4	2.89497E+2	2.84337E+2	-2.64823E+1	7.06087E-3	4.91224E+4
2.09999E+0	2.12592E+0	1.66143E-3	2.89497E+2	2.84379E+2	-2.64915E+1	7.07183E-3	4.92014E+4
2.19994E+0	2.22690E+0	9.23276E-4	2.89498E+2	2.84337E+2	-2.65021E+1	7.06275E-3	4.92804E+4
2.29998E+0	2.32788E+0	1.17166E-3	2.89497E+2	2.84462E+2	-2.64906E+1	7.06096E-3	4.93594E+4
2.39993E+0	2.42879E+0	8.11892E-4	2.89499E+2	2.84504E+2	-2.64790E+1	7.06608E-3	4.94384E+4
2.49998E+0	2.52989E+0	1.25426E-3	2.89501E+2	2.84520E+2	-2.65038E+1	7.06894E-3	4.95174E+4
2.59993E+0	2.63099E+0	1.61532E-3	2.89499E+2	2.84535E+2	-2.65508E+1	7.06842E-3	4.95964E+4
2.69997E+0	2.73199E+0	1.70562E-3	2.89498E+2	2.84550E+2	-2.64387E+1	7.05277E-3	4.96754E+4
2.79992E+0	2.83307E+0	1.79325E-3	2.89497E+2	2.84610E+2	-2.65132E+1	7.05865E-3	4.97544E+4
2.89997E+0	2.93437E+0	3.19739E-3	2.89500E+2	2.84659E+2	-2.64624E+1	7.05806E-3	4.98334E+4
2.99992E+0	3.03527E+0	1.58935E-3	2.89498E+2	2.84656E+2	-2.64938E+1	7.05599E-3	4.99124E+4
3.09996E+0	3.13639E+0	1.23081E-3	2.89498E+2	2.84719E+2	-2.64814E+1	7.05348E-3	4.99914E+4
3.19991E+0	3.23733E+0	2.12721E-3	2.89499E+2	2.84745E+2	-2.65649E+1	7.07047E-3	5.00704E+4
3.29996E+0	3.33812E+0	3.37233E-3	2.89497E+2	2.84773E+2	-2.65952E+1	7.04791E-3	5.01494E+4
3.39991E+0	3.43909E+0	2.58091E-3	2.89500E+2	2.84795E+2	-2.64858E+1	7.04535E-3	5.02284E+4
3.49995E+0	3.53968E+0	1.94110E-3	2.89496E+2	2.84845E+2	-2.64710E+1	7.06388E-3	5.03074E+4
3.59990E+0	3.63995E+0	1.15034E-3	2.89497E+2	2.84839E+2	-2.64426E+1	7.05210E-3	5.03864E+4
3.69995E+0	3.74034E+0	9.26810E-4	2.89500E+2	2.84874E+2	-2.65242E+1	7.05192E-3	5.04654E+4
3.79999E+0	3.84041E+0	2.06543E-3	2.89501E+2	2.84921E+2	-2.64427E+1	7.03805E-3	5.05444E+4
3.89994E+0	3.94019E+0	1.97318E-3	2.89497E+2	2.84966E+2	-2.65342E+1	7.05490E-3	5.06234E+4
3.99999E+0	4.03981E+0	2.57817E-3	2.89499E+2	2.85041E+2	-2.64633E+1	7.05034E-3	5.07024E+4
4.09994E+0	4.13920E+0	3.39636E-3	2.89500E+2	2.85068E+2	-2.64933E+1	7.05316E-3	5.07814E+4
4.19998E+0	4.23845E+0	2.22947E-3	2.89503E+2	2.85126E+2	-2.65616E+1	7.05279E-3	5.08604E+4
4.29993E+0	4.33762E+0	3.22684E-3	2.89501E+2	2.85131E+2	-2.64848E+1	7.04378E-3	5.09394E+4
4.39998E+0	4.43719E+0	1.47837E-3	2.89501E+2	2.85152E+2	-2.64939E+1	7.04125E-3	5.10184E+4
4.49993E+0	4.53692E+0	2.76316E-3	2.89501E+2	2.85193E+2	-2.65378E+1	7.02950E-3	5.10974E+4
