B_digital_(T)	B_analog_(T)	moment_(emu)	T_VTI_(K)	T_sample_(K)	sense_phase	sense_amplitude	Time
0.00000E+0	1.65660E-4	3.29373E-5	2.93595E+2	2.88515E+2	-2.63461E+1	7.05062E-3	3.84577E+4
6.27273E-4	8.38083E-4	9.79982E-6	2.93503E+2	2.88525E+2	-2.63405E+1	7.05744E-3	3.84598E+4
3.64145E-2	1.74640E-2	8.85630E-6	2.93309E+2	2.88632E+2	-2.63090E+1	7.05629E-3	3.84659E+4
8.63618E-2	5.06589E-2	1.48952E-4	2.93137E+2	2.88756E+2	-2.62907E+1	7.05268E-3	3.84720E+4
1.25988E-1	9.86582E-2	3.80078E-4	2.92970E+2	2.88797E+2	-2.63041E+1	7.05798E-3	3.84779E+4
1.73708E-1	1.51314E-1	3.35271E-4	2.92772E+2	2.88740E+2	-2.63015E+1	7.05888E-3	3.84839E+4
2.23674E-1	1.98621E-1	-6.91064E-6	2.92582E+2	2.88694E+2	-2.62941E+1	7.05262E-3	3.84899E+4
2.74560E-1	2.44983E-1	-2.57344E-5	2.92414E+2	2.88682E+2	-2.63215E+1	7.05095E-3	3.84959E+4
3.24314E-1	2.91632E-1	-2.31626E-4	2.92250E+2	2.88690E+2	-2.63439E+1	7.06028E-3	3.85019E+4
3.76538E-1	3.43674E-1	-3.36158E-4	2.92093E+2	2.88696E+2	-2.63357E+1	7.05907E-3	3.85079E+4
4.24020E-1	3.95326E-1	1.58383E-4	2.91921E+2	2.88672E+2	-2.63040E+1	7.05486E-3	3.85139E+4
4.74058E-1	4.43441E-1	2.42438E-4	2.91748E+2	2.88669E+2	-2.62714E+1	7.05924E-3	3.85199E+4
5.22257E-1	4.90966E-1	-2.39661E-4	2.91591E+2	2.88685E+2	-2.62742E+1	7.06014E-3	3.85259E+4
5.68257E-1	5.37680E-1	-3.83468E-4	2.91437E+2	2.88672E+2	-2.62873E+1	7.05935E-3	3.85319E+4
6.09469E-1	5.89289E-1	-2.06666E-4	2.91286E+2	2.88637E+2	-2.63036E+1	7.06034E-3	3.85379E+4
6.57659E-1	6.40944E-1	6.13002E-5	2.91114E+2	2.88592E+2	-2.63026E+1	7.06137E-3	3.85439E+4
7.06074E-1	6.86264E-1	7.18794E-4	2.90956E+2	2.88565E+2	-2.62978E+1	7.06208E-3	3.85499E+4
7.58993E-1	7.32002E-1	4.53232E-4	2.90809E+2	2.88542E+2	-2.63070E+1	7.04748E-3	3.85559E+4
8.06515E-1	7.85231E-1	2.78859E-4	2.90665E+2	2.88527E+2	-2.62989E+1	7.05661E-3	3.85619E+4
8.60123E-1	8.35835E-1	3.58454E-4	2.90516E+2	2.88526E+2	-2.63052E+1	7.06345E-3	3.85679E+4
9.07316E-1	8.80837E-1	3.55688E-4	2.90369E+2	2.88519E+2	-2.63144E+1	7.05982E-3	3.85739E+4
9.68408E-1	9.43142E-1	4.09433E-4	2.90188E+2	2.88489E+2	-2.62790E+1	7.05771E-3	3.85818E+4
1.01801E+0	9.97231E-1	5.43977E-4	2.90058E+2	2.88467E+2	-2.62838E+1	7.06004E-3	3.85878E+4
1.07155E+0	1.05837E+0	2.50391E-4	2.89887E+2	2.88424E+2	-2.63018E+1	7.05898E-3	3.85954E+4
1.12423E+0	1.10641E+0	3.09831E-4	2.89748E+2	2.88357E+2	-2.62890E+1	7.06017E-3	3.86012E+4
1.17665E+0	1.15639E+0	7.45613E-4	2.89628E+2	2.88331E+2	-2.62881E+1	7.06028E-3	3.86079E+4
1.23521E+0	1.21812E+0	8.29049E-4	2.89484E+2	2.88320E+2	-2.63088E+1	7.06171E-3	3.86158E+4
1.28797E+0	1.26994E+0	7.71442E-4	2.89367E+2	2.88269E+2	-2.63038E+1	7.06670E-3	3.86217E+4
1.33831E+0	1.32349E+0	6.74211E-4	2.89258E+2	2.88225E+2	-2.62987E+1	7.06368E-3	3.86279E+4
1.39179E+0	1.37632E+0	4.47351E-4	2.89169E+2	2.88195E+2	-2.62761E+1	7.05902E-3	3.86339E+4
1.44392E+0	1.43258E+0	-1.90540E-4	2.89057E+2	2.88145E+2	-2.62632E+1	7.05796E-3	3.86416E+4
1.51731E+0	1.49871E+0	1.76652E-4	2.88940E+2	2.88084E+2	-2.62742E+1	7.06225E-3	3.86494E+4
