B_digital_(T)	B_analog_(T)	moment_(emu)	T_VTI_(K)	T_sample_(K)	sense_phase	sense_amplitude	Time
0.00000E+0	1.26138E-3	-2.93789E-5	2.99491E+2	2.92202E+2	-2.63019E+1	6.97171E-3	3.34614E+4
7.81818E-4	2.38932E-3	-6.37201E-5	2.99494E+2	2.92222E+2	-2.62864E+1	6.96787E-3	3.34636E+4
3.00129E-2	1.55197E-2	-1.70483E-4	2.99506E+2	2.92277E+2	-2.62851E+1	6.96573E-3	3.34695E+4
7.44409E-2	5.30329E-2	-4.50320E-5	2.99519E+2	2.92311E+2	-2.62939E+1	6.96708E-3	3.34756E+4
1.24964E-1	1.02520E-1	1.53178E-4	2.99520E+2	2.92310E+2	-2.62865E+1	6.96539E-3	3.34816E+4
1.75220E-1	1.47271E-1	-2.82748E-4	2.99514E+2	2.92323E+2	-2.62781E+1	6.96495E-3	3.34876E+4
2.25531E-1	1.99335E-1	-4.67223E-4	2.99510E+2	2.92344E+2	-2.62920E+1	6.96626E-3	3.34936E+4
2.75496E-1	2.52060E-1	-3.53676E-4	2.99509E+2	2.92343E+2	-2.63221E+1	6.96974E-3	3.34996E+4
3.26743E-1	2.97777E-1	-3.52221E-4	2.99509E+2	2.92332E+2	-2.63359E+1	6.96857E-3	3.35056E+4
3.77484E-1	3.42914E-1	2.03255E-4	2.99512E+2	2.92338E+2	-2.63514E+1	6.97153E-3	3.35116E+4
4.28109E-1	3.94474E-1	4.45024E-4	2.99515E+2	2.92352E+2	-2.63672E+1	6.95914E-3	3.35176E+4
4.74443E-1	4.45522E-1	7.23880E-5	2.99518E+2	2.92368E+2	-2.63661E+1	6.96447E-3	3.35236E+4
5.22131E-1	4.91373E-1	-1.25136E-4	2.99520E+2	2.92365E+2	-2.62946E+1	6.96371E-3	3.35296E+4
5.59891E-1	5.37567E-1	4.32808E-4	2.99520E+2	2.92359E+2	-2.62659E+1	6.96946E-3	3.35356E+4
6.06155E-1	5.89850E-1	4.83063E-4	2.99519E+2	2.92363E+2	-2.62859E+1	6.97652E-3	3.35416E+4
6.55680E-1	6.39933E-1	4.29135E-4	2.99515E+2	2.92363E+2	-2.62949E+1	6.96801E-3	3.35476E+4
7.06933E-1	6.85198E-1	6.13312E-4	2.99512E+2	2.92359E+2	-2.62867E+1	6.97294E-3	3.35536E+4
7.57959E-1	7.38250E-1	2.68220E-4	2.99514E+2	2.92379E+2	-2.62566E+1	6.96955E-3	3.35596E+4
8.07530E-1	7.89121E-1	2.18217E-4	2.99518E+2	2.92397E+2	-2.62359E+1	6.97471E-3	3.35656E+4
8.60197E-1	8.35102E-1	7.82340E-4	2.99522E+2	2.92400E+2	-2.62631E+1	6.98274E-3	3.35715E+4
9.07830E-1	8.85960E-1	6.68334E-4	2.99524E+2	2.92425E+2	-2.62827E+1	6.96921E-3	3.35776E+4
9.59649E-1	9.36578E-1	4.71372E-4	2.99524E+2	2.92429E+2	-2.63010E+1	6.96137E-3	3.35836E+4
1.00724E+0	9.87870E-1	7.29006E-4	2.99525E+2	2.92426E+2	-2.63144E+1	6.96430E-3	3.35906E+4
1.05364E+0	1.03680E+0	8.23522E-4	2.99524E+2	2.92441E+2	-2.63005E+1	6.97113E-3	3.35966E+4
1.10520E+0	1.08789E+0	9.66635E-4	2.99524E+2	2.92449E+2	-2.62745E+1	6.96547E-3	3.36026E+4
1.15697E+0	1.13295E+0	7.91940E-4	2.99525E+2	2.92459E+2	-2.62690E+1	6.96688E-3	3.36086E+4
1.20569E+0	1.18451E+0	7.45560E-4	2.99523E+2	2.92465E+2	-2.62753E+1	6.96835E-3	3.36146E+4
1.25807E+0	1.23337E+0	6.79338E-4	2.99521E+2	2.92484E+2	-2.62940E+1	6.96877E-3	3.36206E+4
1.30755E+0	1.29054E+0	5.37994E-4	2.99521E+2	2.92509E+2	-2.62433E+1	6.96109E-3	3.36283E+4
1.36701E+0	1.33866E+0	7.27048E-4	2.99522E+2	2.92505E+2	-2.62158E+1	6.96481E-3	3.36343E+4
1.41684E+0	1.39511E+0	1.16867E-3	2.99521E+2	2.92501E+2	-2.62595E+1	6.96871E-3	3.36406E+4
1.46515E+0	1.44729E+0	1.36663E-3	2.99521E+2	2.92497E+2	-2.62840E+1	6.95866E-3	3.36466E+4
