B_digital_(T)	B_analog_(T)	moment_(emu)	T_VTI_(K)	T_sample_(K)	sense_phase	sense_amplitude	Time
0.00000E+0	-1.23416E-3	-8.64716E-5	2.99507E+2	2.93078E+2	-2.61400E+1	7.20452E-3	4.79754E+4
0.00000E+0	-8.06041E-4	6.42579E-5	2.99509E+2	2.93091E+2	-2.61456E+1	7.20130E-3	4.79776E+4
1.43045E-2	5.35007E-3	8.37487E-5	2.99517E+2	2.93163E+2	-2.61404E+1	7.19945E-3	4.79836E+4
5.17599E-2	3.09888E-2	-1.96018E-4	2.99529E+2	2.93246E+2	-2.61283E+1	7.19936E-3	4.79896E+4
9.66851E-2	7.71449E-2	-1.67078E-4	2.99536E+2	2.93288E+2	-2.61326E+1	7.19962E-3	4.79956E+4
1.48081E-1	1.23439E-1	-1.76519E-4	2.99530E+2	2.93274E+2	-2.61351E+1	7.20565E-3	4.80016E+4
1.98612E-1	1.69873E-1	6.29925E-6	2.99525E+2	2.93246E+2	-2.61254E+1	7.19817E-3	4.80076E+4
2.47478E-1	2.23241E-1	6.32256E-5	2.99522E+2	2.93234E+2	-2.61414E+1	7.19458E-3	4.80135E+4
3.00022E-1	2.74310E-1	2.18284E-4	2.99519E+2	2.93232E+2	-2.61580E+1	7.19836E-3	4.80196E+4
3.50230E-1	3.19833E-1	3.84531E-4	2.99520E+2	2.93252E+2	-2.61506E+1	7.19906E-3	4.80256E+4
4.00782E-1	3.66913E-1	-3.75010E-5	2.99522E+2	2.93252E+2	-2.61370E+1	7.19408E-3	4.80316E+4
4.50879E-1	4.18713E-1	-4.49953E-4	2.99525E+2	2.93273E+2	-2.61265E+1	7.19571E-3	4.80376E+4
4.97513E-1	4.71113E-1	-1.84998E-4	2.99527E+2	2.93303E+2	-2.61488E+1	7.19130E-3	4.80436E+4
5.36893E-1	5.17947E-1	8.18341E-5	2.99526E+2	2.93311E+2	-2.61668E+1	7.19897E-3	4.80496E+4
5.80178E-1	5.62294E-1	-1.78577E-4	2.99526E+2	2.93304E+2	-2.61572E+1	7.19366E-3	4.80556E+4
6.29370E-1	6.13039E-1	-1.05998E-4	2.99524E+2	2.93303E+2	-2.61315E+1	7.19142E-3	4.80616E+4
6.82123E-1	6.64049E-1	-2.05554E-4	2.99520E+2	2.93297E+2	-2.61360E+1	7.19776E-3	4.80676E+4
7.32650E-1	7.09315E-1	-5.50982E-5	2.99519E+2	2.93297E+2	-2.61213E+1	7.19318E-3	4.80736E+4
7.84202E-1	7.60756E-1	-3.87160E-5	2.99522E+2	2.93318E+2	-2.61197E+1	7.19610E-3	4.80795E+4
8.36381E-1	8.12082E-1	1.70501E-4	2.99527E+2	2.93365E+2	-2.61367E+1	7.19361E-3	4.80856E+4
8.83358E-1	8.58636E-1	4.72219E-4	2.99526E+2	2.93388E+2	-2.61400E+1	7.19392E-3	4.80916E+4
9.34555E-1	9.05824E-1	2.13798E-4	2.99527E+2	2.93416E+2	-2.61463E+1	7.19314E-3	4.80976E+4
9.81415E-1	9.53599E-1	-1.57640E-5	2.99528E+2	2.93424E+2	-2.61506E+1	7.19337E-3	4.81036E+4
1.02764E+0	1.00070E+0	-2.95732E-4	2.99527E+2	2.93408E+2	-2.61406E+1	7.19604E-3	4.81096E+4
1.06704E+0	1.05072E+0	-3.06212E-4	2.99527E+2	2.93412E+2	-2.61432E+1	7.19719E-3	4.81155E+4
1.11233E+0	1.10112E+0	-1.96288E-4	2.99526E+2	2.93424E+2	-2.61235E+1	7.19472E-3	4.81215E+4
