B_digital_(T)	B_analog_(T)	moment_(emu)	T_VTI_(K)	T_sample_(K)	sense_phase	sense_amplitude	Time
0.00000E+0	5.39038E-6	-2.84748E-5	2.89821E+2	2.88091E+2	-2.62646E+1	6.91205E-3	3.32537E+4
7.30909E-4	1.12676E-3	-5.10449E-5	2.89734E+2	2.88085E+2	-2.62567E+1	6.91676E-3	3.32560E+4
3.51382E-2	1.54433E-2	-1.49561E-4	2.89633E+2	2.88172E+2	-2.62650E+1	6.91374E-3	3.32619E+4
7.70983E-2	4.90558E-2	-1.72231E-4	2.89539E+2	2.88243E+2	-2.62791E+1	6.90960E-3	3.32679E+4
1.21910E-1	9.51072E-2	1.37664E-5	2.89434E+2	2.88211E+2	-2.62863E+1	6.90939E-3	3.32740E+4
1.74499E-1	1.48941E-1	1.05674E-4	2.89329E+2	2.88133E+2	-2.62789E+1	6.91314E-3	3.32799E+4
2.24864E-1	2.01705E-1	2.95512E-4	2.89232E+2	2.88065E+2	-2.62430E+1	6.90903E-3	3.32859E+4
2.75673E-1	2.49386E-1	7.66117E-4	2.89129E+2	2.87998E+2	-2.61969E+1	6.91082E-3	3.32920E+4
3.29188E-1	2.96916E-1	7.15838E-4	2.89039E+2	2.87906E+2	-2.61869E+1	6.91465E-3	3.32979E+4
3.77777E-1	3.43940E-1	2.43468E-4	2.88966E+2	2.87880E+2	-2.62176E+1	6.91353E-3	3.33039E+4
4.25592E-1	3.90499E-1	9.07757E-5	2.88900E+2	2.87873E+2	-2.61904E+1	6.90904E-3	3.33099E+4
4.73865E-1	4.43809E-1	-4.37186E-5	2.88839E+2	2.87843E+2	-2.62021E+1	6.91787E-3	3.33159E+4
5.32952E-1	5.09820E-1	4.24002E-4	2.88755E+2	2.87800E+2	-2.62272E+1	6.92136E-3	3.33242E+4
5.91188E-1	5.72410E-1	2.64487E-4	2.88683E+2	2.87712E+2	-2.62295E+1	6.91820E-3	3.33324E+4
6.53823E-1	6.27694E-1	-4.03500E-5	2.88625E+2	2.87630E+2	-2.61981E+1	6.91548E-3	3.33389E+4
7.11303E-1	6.85104E-1	-8.03340E-5	2.88575E+2	2.87552E+2	-2.61930E+1	6.91670E-3	3.33458E+4
7.63573E-1	7.33071E-1	8.32178E-5	2.88541E+2	2.87494E+2	-2.62356E+1	6.92462E-3	3.33519E+4
8.18579E-1	8.00836E-1	4.50956E-4	2.88501E+2	2.87447E+2	-2.61833E+1	6.92177E-3	3.33600E+4
8.90668E-1	8.64545E-1	5.86262E-5	2.88471E+2	2.87427E+2	-2.61858E+1	6.92169E-3	3.33678E+4
9.48250E-1	9.21094E-1	-3.60942E-4	2.88451E+2	2.87385E+2	-2.62249E+1	6.91508E-3	3.33744E+4
1.00762E+0	9.91936E-1	3.51749E-5	2.88429E+2	2.87334E+2	-2.62268E+1	6.91741E-3	3.33829E+4
1.06399E+0	1.05404E+0	1.64061E-4	2.88409E+2	2.87272E+2	-2.61896E+1	6.92129E-3	3.33907E+4
1.11232E+0	1.10021E+0	1.53166E-4	2.88398E+2	2.87213E+2	-2.61860E+1	6.92097E-3	3.33967E+4
1.16545E+0	1.14860E+0	5.38028E-4	2.88393E+2	2.87195E+2	-2.61979E+1	6.92539E-3	3.34029E+4
1.21859E+0	1.19711E+0	4.98958E-4	2.88388E+2	2.87172E+2	-2.61769E+1	6.92180E-3	3.34089E+4
1.26858E+0	1.24732E+0	2.84923E-4	2.88387E+2	2.87130E+2	-2.61608E+1	6.91349E-3	3.34149E+4
1.31891E+0	1.29935E+0	3.42583E-4	2.88386E+2	2.87079E+2	-2.61662E+1	6.92151E-3	3.34209E+4
1.36634E+0	1.34509E+0	2.90576E-4	2.88387E+2	2.87034E+2	-2.61947E+1	6.92234E-3	3.34269E+4
1.41766E+0	1.39097E+0	5.98089E-4	2.88390E+2	2.87003E+2	-2.62032E+1	6.92408E-3	3.34329E+4
1.46455E+0	1.44231E+0	4.37896E-4	2.88396E+2	2.86976E+2	-2.61825E+1	6.92451E-3	3.34389E+4
1.51294E+0	1.49377E+0	-1.12320E-4	2.88401E+2	2.86914E+2	-2.62211E+1	6.92423E-3	3.34449E+4
1.55250E+0	1.54090E+0	-3.25966E-4	2.88408E+2	2.86870E+2	-2.62100E+1	6.92571E-3	3.34509E+4
1.59711E+0	1.59075E+0	4.50200E-4	2.88419E+2	2.86831E+2	-2.61608E+1	6.92395E-3	3.34569E+4
1.64786E+0	1.64135E+0	6.07315E-4	2.88431E+2	2.86793E+2	-2.61813E+1	6.92860E-3	3.34629E+4
1.69707E+0	1.68894E+0	1.37336E-4	2.88442E+2	2.86745E+2	-2.61934E+1	6.92603E-3	3.34689E+4
1.74920E+0	1.73714E+0	-1.20891E-4	2.88456E+2	2.86702E+2	-2.61978E+1	6.92208E-3	3.34749E+4
1.79790E+0	1.78886E+0	-2.54040E-4	2.88469E+2	2.86683E+2	-2.62108E+1	6.92656E-3	3.34809E+4
1.85131E+0	1.83970E+0	-3.10215E-4	2.88484E+2	2.86652E+2	-2.62323E+1	6.92425E-3	3.34869E+4
1.89823E+0	1.88348E+0	-3.56999E-5	2.88499E+2	2.86618E+2	-2.62382E+1	6.92301E-3	3.34929E+4
