T_VTI_(K)	T_sample_(K)	moment_(emu)	B_digital_(T)	B_analog_(T)	sense_phase	sense_amplitude	Time
2.94488E+2	2.93991E+2	-2.44171E-5	0.00000E+0	-4.91737E-4	-2.66912E+1	7.18038E-3	3.46284E+4
2.94491E+2	2.93979E+2	-2.97779E-5	4.15208E-4	-1.39220E-4	-2.67036E+1	7.17558E-3	3.46306E+4
2.94526E+2	2.94365E+2	3.29481E-4	8.77564E-2	7.26400E-2	-2.66963E+1	7.18032E-3	3.46474E+4
2.94515E+2	2.94339E+2	6.19927E-5	1.47567E-1	1.20717E-1	-2.67121E+1	7.18213E-3	3.46526E+4
2.94509E+2	2.94300E+2	9.44279E-5	1.98924E-1	1.68853E-1	-2.67228E+1	7.18145E-3	3.46586E+4
2.94505E+2	2.94255E+2	3.27574E-4	2.49802E-1	2.18182E-1	-2.66936E+1	7.18448E-3	3.46646E+4
2.94503E+2	2.94247E+2	3.29876E-4	3.02754E-1	2.70978E-1	-2.66696E+1	7.18131E-3	3.46706E+4
2.94504E+2	2.94296E+2	2.44972E-4	3.52716E-1	3.23983E-1	-2.66920E+1	7.18459E-3	3.46766E+4
2.94505E+2	2.94355E+2	-3.74874E-5	4.01218E-1	3.71124E-1	-2.67279E+1	7.18332E-3	3.46826E+4
2.94506E+2	2.94388E+2	-2.12524E-4	4.52345E-1	4.18335E-1	-2.67288E+1	7.17969E-3	3.46886E+4
2.94506E+2	2.94420E+2	-1.87962E-4	4.94154E-1	4.74122E-1	-2.67106E+1	7.18531E-3	3.46953E+4
2.94503E+2	2.94428E+2	-4.21922E-5	5.45532E-1	5.24943E-1	-2.67123E+1	7.18116E-3	3.47012E+4
2.94499E+2	2.94435E+2	2.93216E-4	5.99038E-1	5.73458E-1	-2.66742E+1	7.18340E-3	3.47076E+4
2.94495E+2	2.94430E+2	7.59843E-5	6.51099E-1	6.22371E-1	-2.66859E+1	7.18265E-3	3.47141E+4
2.94491E+2	2.94425E+2	-3.06805E-4	7.08738E-1	6.72685E-1	-2.66979E+1	7.18184E-3	3.47200E+4
2.94489E+2	2.94416E+2	-1.37225E-4	7.46656E-1	7.30247E-1	-2.67029E+1	7.18225E-3	3.47266E+4
2.94489E+2	2.94444E+2	-1.13893E-4	7.92003E-1	7.77071E-1	-2.67251E+1	7.18135E-3	3.47326E+4
2.94492E+2	2.94518E+2	8.10709E-5	8.43529E-1	8.24725E-1	-2.67441E+1	7.17768E-3	3.47386E+4
2.94494E+2	2.94674E+2	-2.59517E-4	8.92537E-1	8.74217E-1	-2.67475E+1	7.17562E-3	3.47446E+4
2.94492E+2	2.94712E+2	-3.49931E-4	9.45455E-1	9.20513E-1	-2.67112E+1	7.18043E-3	3.47505E+4
2.94492E+2	2.94661E+2	-2.07903E-4	9.93392E-1	9.70331E-1	-2.66862E+1	7.18220E-3	3.47566E+4
2.94493E+2	2.94676E+2	1.34935E-5	1.04522E+0	1.02145E+0	-2.66879E+1	7.18232E-3	3.47626E+4
2.94491E+2	2.94699E+2	2.00003E-4	1.09417E+0	1.06814E+0	-2.67030E+1	7.18426E-3	3.47686E+4
2.94491E+2	2.94721E+2	-1.29679E-4	1.14465E+0	1.11553E+0	-2.67231E+1	7.18119E-3	3.47746E+4
2.94490E+2	2.94748E+2	1.36977E-5	1.19026E+0	1.16906E+0	-2.67253E+1	7.18266E-3	3.47806E+4
2.94489E+2	2.94769E+2	1.85237E-4	1.23831E+0	1.22093E+0	-2.67183E+1	7.18395E-3	3.47866E+4
2.94489E+2	2.94786E+2	-1.59011E-5	1.27944E+0	1.26842E+0	-2.66966E+1	7.18461E-3	3.47926E+4
2.94490E+2	2.94809E+2	-1.07645E-4	1.32389E+0	1.31734E+0	-2.67167E+1	7.18372E-3	3.47986E+4
2.94490E+2	2.94827E+2	1.84177E-4	1.37613E+0	1.36517E+0	-2.67323E+1	7.18452E-3	3.48046E+4
2.94489E+2	2.94859E+2	4.55871E-5	1.42619E+0	1.41307E+0	-2.67116E+1	7.18313E-3	3.48106E+4
2.94487E+2	2.94877E+2	-8.72816E-5	1.47789E+0	1.46233E+0	-2.67059E+1	7.18643E-3	3.48166E+4
2.94488E+2	2.94894E+2	-3.98822E-5	1.53054E+0	1.50984E+0	-2.67043E+1	7.18668E-3	3.48226E+4
2.94490E+2	2.94927E+2	-3.48355E-5	1.58100E+0	1.55581E+0	-2.66758E+1	7.17996E-3	3.48286E+4
2.94490E+2	2.94933E+2	1.80461E-4	1.62803E+0	1.60950E+0	-2.67002E+1	7.18251E-3	3.48346E+4
2.94492E+2	2.94934E+2	-5.39991E-5	1.67529E+0	1.66231E+0	-2.67313E+1	7.18371E-3	3.48406E+4
2.94494E+2	2.94952E+2	-1.07246E-4	1.71295E+0	1.70828E+0	-2.67011E+1	7.18053E-3	3.48466E+4
2.94497E+2	2.94960E+2	1.33168E-4	1.75908E+0	1.75669E+0	-2.67016E+1	7.18528E-3	3.48526E+4
2.94498E+2	2.94981E+2	-5.21790E-5	1.81116E+0	1.80374E+0	-2.67097E+1	7.18614E-3	3.48586E+4
2.94499E+2	2.95006E+2	-1.08908E-4	1.86018E+0	1.84985E+0	-2.66916E+1	7.18421E-3	3.48646E+4
2.94501E+2	2.95024E+2	4.24294E-4	1.91863E+0	1.90655E+0	-2.66817E+1	7.18889E-3	3.48713E+4
2.94502E+2	2.95050E+2	7.91570E-4	1.97278E+0	1.95791E+0	-2.67079E+1	7.18772E-3	3.48771E+4
2.94503E+2	2.95084E+2	5.31268E-5	2.02093E+0	2.00842E+0	-2.67248E+1	7.18974E-3	3.48836E+4
2.94504E+2	2.95107E+2	-5.52359E-4	2.05986E+0	2.05469E+0	-2.67154E+1	7.18482E-3	3.48895E+4
2.94505E+2	2.95129E+2	-2.48609E-4	2.10483E+0	2.10820E+0	-2.67083E+1	7.18435E-3	3.48956E+4
2.94507E+2	2.95178E+2	-9.96337E-5	2.16683E+0	2.16242E+0	-2.67135E+1	7.18739E-3	3.49022E+4
2.94509E+2	2.95215E+2	5.18263E-6	2.22366E+0	2.20879E+0	-2.67084E+1	7.18906E-3	3.49081E+4
2.94510E+2	2.95236E+2	-4.58355E-5	2.27434E+0	2.25947E+0	-2.67185E+1	7.18697E-3	3.49146E+4
2.94508E+2	2.95235E+2	-5.08153E-4	2.32077E+0	2.31145E+0	-2.67486E+1	7.17855E-3	3.49206E+4
2.94510E+2	2.95256E+2	-8.07770E-4	2.36649E+0	2.36812E+0	-2.67242E+1	7.18413E-3	3.49274E+4
2.94510E+2	2.95299E+2	-6.77050E-4	2.41762E+0	2.41354E+0	-2.67287E+1	7.18128E-3	3.49334E+4
2.94511E+2	2.95319E+2	-3.77987E-4	2.46962E+0	2.46179E+0	-2.67508E+1	7.17774E-3	3.49396E+4
2.94512E+2	2.95330E+2	-6.57903E-4	2.51731E+0	2.51365E+0	-2.67601E+1	7.18230E-3	3.49456E+4
2.94511E+2	2.95348E+2	-6.84926E-4	2.57033E+0	2.56527E+0	-2.67519E+1	7.18446E-3	3.49516E+4
2.94512E+2	2.95397E+2	-7.28999E-4	2.62165E+0	2.61317E+0	-2.67188E+1	7.18468E-3	3.49577E+4
2.94513E+2	2.95402E+2	-5.48601E-4	2.66734E+0	2.65957E+0	-2.67280E+1	7.18255E-3	3.49636E+4
2.94513E+2	2.95418E+2	4.69269E-5	2.71293E+0	2.71350E+0	-2.67347E+1	7.18231E-3	3.49706E+4
2.94514E+2	2.95452E+2	-4.76658E-4	2.76467E+0	2.76327E+0	-2.67116E+1	7.18544E-3	3.49766E+4
2.94515E+2	2.95473E+2	-9.22598E-4	2.81538E+0	2.81253E+0	-2.67042E+1	7.18201E-3	3.49826E+4
2.94517E+2	2.95523E+2	-2.84380E-4	2.86790E+0	2.86924E+0	-2.67200E+1	7.18432E-3	3.49893E+4
2.94515E+2	2.95538E+2	4.67596E-4	2.92495E+0	2.92018E+0	-2.67351E+1	7.17763E-3	3.49951E+4
